Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
01/2003;277,173;276,578;2,33
02/2003;283,506;280,984;2,28
03/2003;287,855;285,640;1,53
04/2003;290,512;286,815;0,92
05/2003;289,747;284,900;-0,26
06/2003;286,843;282,913;-1,00
07/2003;285,649;282,349;-0,42
08/2003;286,735;284,105;0,38
09/2003;290,127;287,081;1,18
10/2003;291,229;288,337;0,38
11/2003;292,657;289,718;0,49
12/2003;294,455;291,462;0,61
01/2004;297,039;293,793;0,88
02/2004;299,097;296,976;0,69
03/2004;302,484;299,746;1,13
04/2004;306,151;303,184;1,21
05/2004;310,152;307,616;1,31
06/2004;314,419;311,576;1,38
07/2004;318,532;315,113;1,31
08/2004;322,412;319,244;1,22
09/2004;324,651;320,788;0,69
10/2004;325,925;322,492;0,39
11/2004;328,588;325,148;0,82
12/2004;331,005;326,833;0,74
01/2005;332,298;327,915;0,39
02/2005;333,288;329,241;0,30
03/2005;336,123;332,490;0,85
04/2005;339,030;334,170;0,86
05/2005;338,299;333,321;-0,22
06/2005;336,801;331,823;-0,44
07/2005;335,663;330,484;-0,34
08/2005;333,474;327,887;-0,65
09/2005;331,690;327,454;-0,53
10/2005;333,694;329,529;0,60
11/2005;335,033;330,619;0,40
12/2005;335,006;330,835;-0,01
01/2006;338,083;333,222;0,92
02/2006;338,128;333,030;0,01
03/2006;337,339;331,531;-0,23
04/2006;335,921;331,607;-0,42
05/2006;337,185;332,851;0,38
06/2006;339,712;335,067;0,75
07/2006;340,312;335,637;0,18
08/2006;341,574;337,011;0,37
09/2006;342,561;337,817;0,29
10/2006;344,155;340,541;0,47
11/2006;346,746;342,482;0,75
12/2006;347,842;343,384;0,32
01/2007;349,593;344,850;0,50
02/2007;350,524;345,652;0,27
03/2007;351,717;346,407;0,34
04/2007;351,869;346,878;0,04
05/2007;352,020;347,421;0,04
06/2007;352,936;348,328;0,26
07/2007;353,920;349,628;0,28
08/2007;357,404;354,495;0,98
09/2007;361,997;358,633;1,29
10/2007;365,794;361,308;1,05
11/2007;368,334;365,100;0,69
12/2007;374,815;370,485;1,76
01/2008;378,900;374,139;1,09
02/2008;380,906;375,558;0,53
03/2008;383,731;378,194;0,74
04/2008;386,380;382,414;0,69
05/2008;392,592;389,585;1,61
06/2008;400,382;396,954;1,98
07/2008;407,446;401,406;1,76
08/2008;406,127;399,870;-0,32
09/2008;406,557;401,327;0,11
10/2008;410,524;405,707;0,98
11/2008;412,104;405,982;0,38
12/2008;411,575;404,185;-0,13
01/2009;409,782;404,244;-0,44
02/2009;410,849;403,737;0,26
03/2009;407,808;400,353;-0,74
04/2009;407,181;400,530;-0,15
05/2009;406,885;401,232;-0,07
06/2009;406,486;399,966;-0,10
07/2009;404,718;397,393;-0,43
08/2009;403,253;397,758;-0,36
09/2009;404,945;398,738;0,42
10/2009;405,129;398,575;0,05
11/2009;405,548;398,857;0,10
12/2009;404,499;398,407;-0,26
01/2010;407,049;402,425;0,63
02/2010;411,843;406,826;1,18
03/2010;415,734;409,399;0,94
04/2010;418,917;412,341;0,77
05/2010;423,885;418,811;1,19
06/2010;427,489;420,241;0,85
07/2010;428,150;421,154;0,15
08/2010;431,445;425,788;0,77
09/2010;436,423;430,453;1,15
10/2010;440,829;434,882;1,01
11/2010;447,206;441,754;1,45
12/2010;450,301;443,427;0,69
01/2011;453,875;447,764;0,79
02/2011;458,397;452,047;1,00
03/2011;461,249;454,805;0,62
04/2011;463,311;457,059;0,45
05/2011;465,311;457,090;0,43
06/2011;464,463;456,490;-0,18
07/2011;463,927;456,258;-0,12
08/2011;465,968;459,055;0,44
09/2011;468,975;462,509;0,65
10/2011;471,466;464,349;0,53
11/2011;473,808;466,331;0,50
12/2011;473,252;465,586;-0,12
01/2012;474,429;466,979;0,25
02/2012;474,138;467,308;-0,06
03/2012;476,166;469,910;0,43
04/2012;480,229;474,683;0,85
05/2012;485,140;479,019;1,02
06/2012;488,342;482,311;0,66
07/2012;494,891;489,621;1,34
08/2012;501,957;495,949;1,43
09/2012;506,804;500,314;0,97
10/2012;506,926;498,739;0,02
11/2012;506,795;499,989;-0,03
12/2012;510,252;503,283;0,68
01/2013;511,977;504,830;0,34
02/2013;513,467;505,832;0,29
03/2013;514,526;507,375;0,21
04/2013;515,276;507,087;0,15
05/2013;515,299;508,715;0,00
06/2013;519,153;512,598;0,75
07/2013;520,508;513,313;0,26
08/2013;521,270;515,688;0,15
09/2013;529,085;522,690;1,50
10/2013;533,621;525,966;0,86
11/2013;535,168;527,422;0,29
12/2013;538,370;531,056;0,60
01/2014;540,959;533,197;0,48
02/2014;543,038;537,703;0,38
03/2014;552,087;545,684;1,67
04/2014;556,420;548,145;0,78
05/2014;555,679;545,652;-0,13
06/2014;551,554;542,194;-0,74
07/2014;548,202;539,210;-0,61
08/2014;546,745;539,550;-0,27
09/2014;547,839;539,649;0,20
10/2014;549,396;542,853;0,28
11/2014;554,769;549,040;0,98
12/2014;558,213;551,149;0,62
01/2015;562,482;554,835;0,76
02/2015;564,004;557,803;0,27
03/2015;569,536;564,568;0,98
04/2015;576,175;569,738;1,17
05/2015;578,516;572,034;0,41
06/2015;582,401;575,938;0,67
07/2015;586,426;579,293;0,69
08/2015;588,042;581,618;0,28
09/2015;593,606;589,897;0,95
10/2015;604,832;600,269;1,89
11/2015;614,051;607,441;1,52
12/2015;617,044;610,128;0,49
01/2016;624,060;619,476;1,14
02/2016;632,114;624,366;1,29
03/2016;635,349;627,060;0,51
04/2016;637,434;629,345;0,33
05/2016;642,651;636,468;0,82
06/2016;653,496;646,868;1,69
07/2016;654,641;644,356;0,18
08/2016;655,602;647,153;0,15
09/2016;656,894;647,360;0,20
10/2016;657,927;648,213;0,16
11/2016;657,752;648,561;-0,03
12/2016;661,304;653,951;0,54
01/2017;665,542;656,778;0,64
02/2017;666,099;657,191;0,08
03/2017;666,197;654,709;0,01
04/2017;658,898;646,573;-1,10
05/2017;652,758;643,260;-0,93
06/2017;648,409;637,079;-0,67
07/2017;643,766;635,198;-0,72
08/2017;644,383;636,714;0,10
09/2017;647,400;640,654;0,47
10/2017;648,672;641,279;0,20
11/2017;652,073;646,422;0,52
12/2017;657,859;651,214;0,89
01/2018;662,826;654,968;0,76
02/2018;663,311;655,975;0,07
03/2018;667,524;659,665;0,64
04/2018;671,327;665,770;0,57
05/2018;680,579;676,695;1,38
06/2018;693,287;686,696;1,87
07/2018;696,800;689,746;0,51
08/2018;701,677;694,414;0,70
09/2018;712,373;706,834;1,52
10/2018;718,684;708,694;0,89
11/2018;715,166;700,601;-0,49
12/2018;707,441;697,446;-1,08
01/2019;707,488;697,923;0,01
02/2019;713,747;706,660;0,88
03/2019;722,707;714,243;1,26
04/2019;729,346;720,695;0,92
05/2019;732,595;723,577;0,45
06/2019;738,421;728,142;0,80
07/2019;741,346;728,084;0,40
08/2019;736,402;724,395;-0,67
09/2019;736,362;728,040;-0,01
10/2019;741,333;732,041;0,68
11/2019;743,558;738,264;0,30
12/2019;759,112;751,121;2,09
01/2020;762,733;751,820;0,48
02/2020;762,423;751,910;-0,04
03/2020;771,908;764,276;1,24
04/2020;778,101;764,656;0,80
05/2020;780,280;772,843;0,28
06/2020;792,429;785,221;1,56
07/2020;810,083;803,584;2,23
08/2020;832,313;834,713;2,74
09/2020;868,442;862,259;4,34
10/2020;896,505;893,977;3,23
11/2020;925,887;917,538;3,28
12/2020;934,758;924,504;0,96
