Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
09/1957; - ;5,215761E-013; - 
10/1957; - ;5,230290E-013; - 
11/1957; - ;5,288404E-013; - 
12/1957; - ;5,361047E-013; - 
01/1958; - ;5,433690E-013; - 
02/1958; - ;5,462747E-013; - 
03/1958; - ;5,535390E-013; - 
04/1958; - ;5,608033E-013; - 
05/1958; - ;5,709733E-013; - 
06/1958; - ;5,724262E-013; - 
07/1958; - ;5,825962E-013; - 
08/1958; - ;5,942190E-013; - 
09/1958; - ;6,116533E-013; - 
10/1958; - ;6,334462E-013; - 
11/1958; - ;6,595977E-013; - 
12/1958; - ;6,668619E-013; - 
01/1959; - ;6,944663E-013; - 
02/1959; - ;7,438634E-013; - 
03/1959; - ;7,554863E-013; - 
04/1959; - ;7,714677E-013; - 
05/1959; - ;7,801849E-013; - 
06/1959; - ;7,889020E-013; - 
07/1959; - ;8,063363E-013; - 
08/1959; - ;8,441107E-013; - 
09/1959; - ;8,659035E-013; - 
10/1959; - ;8,862436E-013; - 
11/1959; - ;9,182064E-013; - 
12/1959; - ;9,298293E-013; - 
01/1960; - ;9,443579E-013; - 
02/1960; - ;9,676036E-013; - 
03/1960; - ;9,821322E-013; - 
04/1960; - ;9,981137E-013; - 
05/1960; - ;9,995665E-013; - 
06/1960; - ;1,005377E-012; - 
07/1960; - ;1,025718E-012; - 
08/1960; - ;1,056228E-012; - 
09/1960; - ;1,098360E-012; - 
10/1960; - ;1,153569E-012; - 
11/1960; - ;1,188438E-012; - 
12/1960; - ;1,213136E-012; - 
01/1961; - ;1,236382E-012; - 
02/1961; - ;1,240741E-012; - 
03/1961; - ;1,266892E-012; - 
04/1961; - ;1,329365E-012; - 
05/1961; - ;1,348252E-012; - 
06/1961; - ;1,368592E-012; - 
07/1961; - ;1,388932E-012; - 
08/1961; - ;1,461575E-012; - 
09/1961; - ;1,522595E-012; - 
10/1961; - ;1,648994E-012; - 
11/1961; - ;1,728901E-012; - 
12/1961; - ;1,792827E-012; - 
01/1962; - ;1,887263E-012; - 
02/1962; - ;1,919225E-012; - 
03/1962; - ;1,951188E-012; - 
04/1962; - ;1,967170E-012; - 
05/1962; - ;2,045624E-012; - 
06/1962; - ;2,109549E-012; - 
07/1962; - ;2,205439E-012; - 
08/1962; - ;2,267911E-012; - 
09/1962; - ;2,315856E-012; - 
10/1962; - ;2,379782E-012; - 
11/1962; - ;2,557640E-012; - 
12/1962; - ;2,717978E-012; - 
01/1963; - ;2,955898E-012; - 
02/1963; - ;3,131752E-012; - 
03/1963; - ;3,305020E-012; - 
04/1963; - ;3,356742E-012; - 
05/1963; - ;3,493804E-012; - 
06/1963; - ;3,669658E-012; - 
07/1963; - ;3,806721E-012; - 
08/1963; - ;3,946370E-012; - 
09/1963; - ;4,163601E-012; - 
10/1963; - ;4,419624E-012; - 
11/1963; - ;4,616166E-012; - 
12/1963; - ;4,890292E-012; - 
01/1964; - ;5,441128E-012; - 
02/1964; - ;5,808353E-012; - 
03/1964; - ;6,240230E-012; - 
04/1964; - ;6,514355E-012; - 
05/1964; - ;6,690209E-012; - 
06/1964; - ;6,979851E-012; - 
07/1964; - ;7,429830E-012; - 
08/1964; - ;7,647061E-012; - 
09/1964; - ;7,934117E-012; - 
10/1964; - ;8,288411E-012; - 
11/1964; - ;8,865109E-012; - 
12/1964; - ;9,395257E-012; - 
01/1965; - ;9,847822E-012; - 
02/1965; - ;1,015556E-011; - 
03/1965; - ;1,076588E-011; - 
04/1965; - ;1,101932E-011; - 
05/1965; - ;1,120810E-011; - 
06/1965; - ;1,133740E-011; - 
07/1965; - ;1,164774E-011; - 
08/1965; - ;1,178738E-011; - 
09/1965; - ;1,202013E-011; - 
10/1965; - ;1,226322E-011; - 
11/1965; - ;1,237443E-011; - 
12/1965; - ;1,261235E-011; - 
01/1966; - ;1,357954E-011; - 
02/1966; - ;1,397263E-011; - 
03/1966; - ;1,433727E-011; - 
04/1966; - ;1,501224E-011; - 
05/1966; - ;1,536136E-011; - 
06/1966; - ;1,564583E-011; - 
07/1966; - ;1,616563E-011; - 
08/1966; - ;1,651992E-011; - 
09/1966; - ;1,691301E-011; - 
10/1966; - ;1,725955E-011; - 
11/1966; - ;1,742764E-011; - 
12/1966; - ;1,754660E-011; - 
01/1967; - ;1,832760E-011; - 
02/1967; - ;1,877241E-011; - 
03/1967; - ;1,920428E-011; - 
04/1967; - ;1,968788E-011; - 
05/1967; - ;1,994908E-011; - 
06/1967; - ;2,010941E-011; - 
07/1967; - ;2,067577E-011; - 
08/1967; - ;2,084904E-011; - 
09/1967; - ;2,116454E-011; - 
10/1967; - ;2,148263E-011; - 
11/1967; - ;2,181623E-011; - 
12/1967; - ;2,193519E-011; - 
01/1968; - ;2,265671E-011; - 
02/1968; - ;2,318686E-011; - 
